T,mut_pct,evasion_type,threshold,fpr,tpr
100,10,evasion_dilute,13.308918507877031,0.0,0.994
100,10,evasion_dilute,12.115771230367397,0.0,0.996
100,10,evasion_dilute,11.518557371497694,0.0,0.997
100,10,evasion_dilute,10.920818753952375,0.0,0.998
100,10,evasion_dilute,9.7281583934635,0.0,0.999
100,10,evasion_dilute,9.131943638176958,0.0,1.0
100,10,evasion_dilute,4.357535479757878,0.001,1.0
100,10,evasion_dilute,3.1643094285075746,0.017,1.0
100,10,evasion_dilute,2.5228787452803374,0.078,1.0
100,10,evasion_dilute,1.958607314841775,0.243,1.0
100,10,evasion_dilute,1.3767507096020994,0.663,1.0
100,10,evasion_dilute,0.769551078621726,0.966,1.0
100,10,evasion_dilute,0.1804560644581313,1.0,1.0
100,10,evasion_dilute,-inf,1.0,1.0
100,15,evasion_pure,inf,0.0,0.0
100,15,evasion_pure,43.74232142513082,0.0,0.005
100,15,evasion_pure,43.14630178822382,0.0,0.006
100,15,evasion_pure,42.54975089168064,0.0,0.007
100,15,evasion_pure,41.95467702121334,0.0,0.01
100,15,evasion_pure,41.356547323513816,0.0,0.021
100,15,evasion_pure,40.7594507517174,0.0,0.024
100,15,evasion_pure,40.16304326294045,0.0,0.029
100,15,evasion_pure,39.5654310959658,0.0,0.04
100,15,evasion_pure,38.97061622231479,0.0,0.072
100,15,evasion_pure,38.37263414340727,0.0,0.081
100,15,evasion_pure,37.77469071827414,0.0,0.095
100,15,evasion_pure,37.1791420105603,0.0,0.106
100,15,evasion_pure,36.58169870868026,0.0,0.157
100,15,evasion_pure,35.98716277529483,0.0,0.187
100,15,evasion_pure,35.38827669199266,0.0,0.208
100,15,evasion_pure,34.79317412396815,0.0,0.24
100,15,evasion_pure,34.195179321278836,0.0,0.323
100,15,evasion_pure,33.598599459218455,0.0,0.357
100,15,evasion_pure,33.0017406615763,0.0,0.396
100,15,evasion_pure,32.40450377817442,0.0,0.445
100,15,evasion_pure,31.80966830182971,0.0,0.556
100,15,evasion_pure,31.211831628858832,0.0,0.608
